mc,ramp,capacity,ner,ser,cer,cher
58.09558435,297,330,3.837,0.0045,1400.152,26.408
58.2,2.61,2.9,32.552,0.006,1402.621,26.455
58.25609025,467.1,519,0.3,0.012,1417.303,25.889
58.32664805,256.5,285,0.636,0.013,1419.957,24.261
58.7618337,34.92,38.8,2.902,4.223,1978.231,80.133
59,1836,2040,38.237,3.559,1987.627,80.487
59.0209498,493.47,548.3,38.237,3.559,1987.627,80.487
59.05,504,560,1.368,0.0015,1437.022,25.748
59.06867865,507.6,564,1.368,0.0019,1437.022,25.748
59.017,5.94,6.6,0.011,0.0018,1426.068,26.954
59.1708148,6.3,7,0.011,0.005,1426.068,26.954
59.037,30.24,33.6,39.202,3.55,1999.613,80.974
59.37903985,30.33,33.7,39.202,3.55,1999.613,80.974
60.10327095,14.4,16,33.632,0.006,1448.537,27.321
61.03591625,369,410,4.952,7.638,2639.778,278.495
61.29765135,6.48,7.2,34.982,0.008,1477.315,27.863
61.62809155,366.48,407.2,0.391,0.09,1499.391,28.556
61.662006,4,4,28.503,2.555,1438.713,58.261
61.753426,3.2,3.2,28.329,2.575,1440.822,58.347
62.3038469,66.96,74.4,11.291,6.487,2098.108,84.963
62.408675,4,4,28.854,2.584,1456.137,58.966
62.422241,12,12,28.858,2.586,1456.452,58.979
62.5024156,72,80,4.078,51.308,2644.462,314.43
62.5203315,155.7,173,2.101,6.697,2714.516,26.317
62.72,7.7,7.7,1.497,0.191,427.894,23.105
62.723213,,7.8,1.497,0.191,427.894,23.105
63.94350095,1080,1200,2.85,8.545,2776.308,27.83
64.268456,24.6,24.6,29.53,2.685,1499.544,60.723
64.82106965,3.78,4.2,4.18,1.1,1562.247,29.465
64.993474,180,180,1.701,0.567,1312.19,41.824
65.21767355,622.8,692,0.581,1.2,1598.389,28.939
65.2533259,641.25,712.5,5.564,28.874,2808.144,264.598
65.4148891,9.72,10.8,0.006,1.6,1576.55,29.735
65.583336,3.2,3.2,28.19,2.714,1530.19,61.966
65.6064544,21.6,24,4.308,0.0015,1581.171,29.822
65.665023,18,20,0.008,0.0019,1644.733,31.021
65.72,11.7,13,0.008,0.0018,1584.009,29.876
65.72346065,11.88,13.2,0.008,0.0018,1584.009,29.876
65.8193791,28.8,32,0.698,0.391,1586.302,33.252
66.13471155,33.3,37,12.078,6.887,2227.114,90.187
67.2860773,33.3,37,12.289,7.009,2265.888,91.757
67.60318485,30.06,33.4,6.709,0.0015,1660.715,38.188
67.62099405,9.18,10.2,0.008,0.0019,1629.723,30.738
67.8304413,11.16,12.4,4.587,0.0018,1634.77,30.833
67.894323,1632.6,1632.6,0.797,1.048,2025.368,236.447
68.04651,3.2,3.2,29.256,2.837,1587.674,64.293
68.352942,2,2,30.333,2.824,1594.824,64.583
68.466391,5.4,5.4,31.5,2.812,1597.5,64.692
68.499998,3.6,3.6,31.524,2.857,1598.238,64.721
68.564104,5.4,5.4,30.427,2.838,1599.761,64.782
68.986841,8.8,8.8,31.658,2.868,1609.605,65.181
69.125,5.4,5.4,31.607,2.857,1612.857,65.312
69.222223,5.4,5.4,31.911,2.889,1615.111,65.404
69.36090245,5.31,5.9,0.071,0.8,1672.695,31.884
69.50337605,9,10,4.572,0.4,1675.09,31.594
70.35852805,2172.42,2413.8,4.436,2.383,2947.255,260.735
70.54383,668,668,0.684,0.6,2032.142,244.439
70.5847078,76.05,84.5,0.006,140.944,2992.758,351.949
70.796383,732.6,732.6,0.067,0.8,1202.09,21.883
71.210881,11.6,11.6,33.441,2.95,1661.51,67.283
71.282442,6.4,6.4,32.733,2.931,1663.206,67.35
71.50367125,7.02,7.8,4.03,1.1,1723.298,32.503
71.91977215,60.3,67,0.007,2.1,1733.34,32.697
72.404052,4.1,4.1,33.229,3.012,1689.349,68.41
72.45,1.98,2.2,37.589,2.2,1746.094,32.933
72.451,2.16,2.4,37.589,0.8,1746.094,32.933
72.4511818,2.25,2.5,37.589,2.3,1746.094,32.933
72.545452,1.3,1.3,32.182,3.018,1692.655,68.544
72.5662,10.8,10.8,33.6,3.2,1693.2,68.564
72.629648,10.8,10.8,33.325,2.981,1694.599,68.624
72.734137,10.8,10.8,33.457,3.02,1697.086,68.723
72.942128,5.4,5.4,33.478,3.043,1701.913,68.918
72.945446,10.8,10.8,33.632,3,1701.947,68.924
73.071558,5.4,5.4,33.659,3.073,1705.024,69.042
73.153714,1.26,1.4,39.762,0.1,1763.064,33.253
73.2669,5.4,5.4,34.2,3,1709.4,69.225
73.498068,5.4,5.4,33.789,3,1714.895,69.446
73.684212,4.8,4.8,34.023,3.061,1719.227,69.62
73.7803049,5.58,6.2,40.882,1.1,1778.167,33.538
73.818185,1.8,1.8,33.909,3.091,1722.364,69.746
74.340455,68.8,68.8,3.318,1.6,1241.369,23.413
74.603298,12,12,34.263,3.158,1740.632,70.49
74.644234,13.5,13.5,33.846,3.077,1741.635,70.527
75.61806,1264,1264,4.673,31.712,2216.682,256.998
75.9309889,19.71,21.9,17.557,1.59,2207.475,58.477
76.000001,3.6,3.6,34.571,3.143,1773.286,71.808
76.190478,2.8,2.8,34.014,3.175,1777.778,71.988
76.6,9,9,35.222,3.167,1787.5,72.385
76.611108,9.3,9.3,35.222,3.167,1787.5,72.385
76.76,13.5,15,0.299,0.184,1850.069,36.313
76.7637921,14.4,16,0.299,0.184,1850.069,36.313
76.99,1,1,35.4,3.2,1796.6,72.753
77,1.2,1.2,36.125,3.25,1796.625,72.753
77.460719,14.8,14.8,35.558,3.202,1807.326,73.188
78.57143,4,4,35.034,3.401,1833.333,74.237
78.7,160,160,4.901,42.745,2307.383,282.143
78.7122,261,261,4.901,42.745,2307.383,282.143
78.8763163,6.66,7.4,0.011,1.9,1901.053,35.854
79.063194,337.5,337.5,4.809,14.762,2369.145,253.893
79.153844,3.6,3.6,35.692,3.385,1846.769,74.788
79.8,5.4,5.4,36,3.2,1862,75.398
79.83971545,3.15,3.5,5.4,2.2,1924.204,36.292
79.8680637,7.47,8.3,5.275,2.1,1924.887,36.305
80.720339,24,24,29.877,4.021,1883.405,76.268
81.3,6,6,37.314,3.371,1899.257,76.91
81.399997,6.3,6.3,37.314,3.371,1899.257,76.91
82.6721106,33.75,37.5,0.011,47.493,3507.476,412.762
82.89263525,60.3,67,0.009,1.5,1997.798,37.686
82.946906,13.5,13.5,37.611,3.451,1935.31,78.371
83.128528,44,44,0.977,2.1,1411.568,26.636
84,1.8,1.8,37.333,3.333,1960,79.366
85.056664,5243.1,5243.1,2.148,1.213,2314.648,235.283
86.500001,1.7,1.7,39.701,3.584,2018.234,81.729
87.31726115,35.37,39.3,4.519,2.182,2116.792,59.163
89.483331,3.6,3.6,41,3.733,2087.867,84.547
90.096776,1.8,1.8,41.484,3.742,2102.129,85.127
90.8767101,249.75,277.5,15.195,88.108,3818.124,444.271
93.366385,12,12,43.692,3.869,2178.451,88.216
94.287949,54.3,54.3,0.177,0.027,1586.212,29.962
98.02485835,5.4,6,54.848,0.012,2362.48,44.558
98.7547203,10.8,12,1.768,0.268,1002.885,48.797
98.8076532,2823.84,3137.6,3.413,4.338,3297.935,104.119
99.143562,18.5,18.5,12.455,7.149,2313.238,93.675
99.6944466,144,160,12.444,1.156,3357.244,62.66
99.999998,1.3,1.3,44.218,4.082,2333.333,94.484
101.148922,7.3,7.3,46.44,4.22,2360.08,95.57
101.154879,5.4,5.4,43.451,4.22,2360.176,95.574
101.406837,94.4,94.4,0.199,0.012,1693.913,31.993
101.4988891,5.04,5.6,0.428,0.258,2446.208,48.284
101.874836,760.5,760.5,0.006,140.944,2992.758,351.949
103.28,20.5,20.5,18.857,6.922,2409.804,97.585
103.28185,21.5,21.5,18.857,6.922,2409.804,97.585
103.801733,67,67,0.007,0.007,1733.34,32.697
107.142854,2.2,2,47.959,4.082,2500,101.233
110.756576,27,27,14.002,7.99,2584.2,104.647
111.326922,32,32,14.1,8.031,2597.508,105.186
113.911518,32,32,14.419,8.219,2657.813,107.628
118.161596,15,15,54.43,4.886,2756.977,111.644
119.107877,32,32,15.062,8.596,2779.055,112.538
119.320572,107.2,107.2,0.011,47.493,3507.476,412.762
119.638855,268,268,0.009,0.009,1997.798,37.686
