load,windall,windallsigma,windnorth,windnorthsigma,windsouth,windsouthsigma
33204,6923,5179,5298,6057,1625,878
33165,6861,4889,5139,5693,1722,804
32926,7162,5239,5265,6169,1897,930
32640,7168,5432,5127,6529,2041,1097
32793,6123,4090,4282,5248,1841,1158
33447,5814,4183,4006,5488,1808,1305
35115,5149,2726,3614,3744,1535,1018
34924,5575,3007,4046,3961,1529,954
34108,6044,3408,4610,4363,1434,955
32778,6441,4084,4875,5023,1566,939
30118,6724,4383,5010,5333,1714,950
27531,6919,4538,5217,5492,1702,954
25705,6696,4580,5052,5504,1644,924
24655,6341,4751,4732,5654,1609,903
24074,5872,4982,4249,5771,1623,789
23984,5063,3943,3782,4580,1281,637
24508,4465,2616,3471,3035,994,419
26624,4796,2759,3699,3093,1097,334
30437,5199,2923,4019,3374,1180,451
32275,5244,2967,3898,3358,1346,391
32284,6343,4549,4813,5057,1530,508
32830,6046,4128,4699,4629,1347,501
33619,5039,3075,3873,3425,1166,350
33866,3931,2491,2956,2594,975,103
33825,3161,2196,2502,2292,659,96
34022,2516,1940,1984,2047,532,107
33745,1779,1077,1455,1138,324,61
33615,1501,827,1241,892,260,65
33745,1198,522,940,454,258,68
34585,1155,449,928,341,227,108
37109,1595,863,1340,652,255,211
37220,2359,905,1890,1095,469,378
36767,3172,1270,2436,1786,736,516
35556,3718,1716,2776,2654,942,938
33159,3157,923,2228,1771,929,848
31083,2919,913,1803,1390,1116,814
29975,2353,895,1338,655,1015,851
29680,2140,876,1181,479,959,833
29760,2013,856,1004,433,1009,849
30343,1746,733,862,322,884,811
31743,1628,765,916,278,712,575
34996,1491,658,989,299,502,359
40055,1753,814,1276,531,477,362
41702,2013,870,1499,881,514,281
40107,2321,916,1876,1219,445,303
38422,2283,996,1852,1133,431,137
37289,2338,1096,1914,1146,424,50
35803,2697,1813,2269,1822,428,9
34354,2324,1500,2071,1501,253,1
33325,1994,901,1784,902,210,1
32469,2269,1070,2040,1071,229,1
31928,2848,1826,2530,1827,318,1
32529,2600,1542,2280,1543,320,1
33253,2501,1843,2263,1844,238,1
36272,2380,1527,2193,1528,187,1
36541,2847,1845,2600,1846,247,1
36367,3547,2403,3247,2445,300,42
35341,4275,2970,3837,3030,438,60
32905,5000,3968,4376,4035,624,67
30751,5755,5073,5106,5147,649,74
29608,6189,5550,5403,5637,786,87
29000,6394,5869,5607,5963,787,94
28718,6645,6475,5916,6594,729,119
28797,6419,6089,5697,6207,722,118
29647,6269,5743,5588,5845,681,102
32073,6102,6082,5479,6196,623,114
35936,5667,5238,5084,5328,583,90
37031,5571,5101,5042,5193,529,92
35445,5059,4536,4623,4578,436,42
34220,4157,4086,3661,4087,496,1
33496,3230,2908,2714,2909,516,1
32732,2524,1786,2171,1797,353,11
32179,2057,1074,1780,1094,277,20
32024,1879,1180,1591,1257,288,77
31911,1317,735,979,786,338,51
31865,1046,512,688,431,358,81
32295,923,349,525,221,398,128
32290,1043,424,609,199,434,225
34389,1537,781,1099,463,438,318
34408,2230,860,1713,1129,517,488
33749,2798,1117,2244,1634,554,517
32347,2822,992,2298,1457,524,465
30131,3485,1510,2760,2057,725,547
27765,3905,1804,3003,2329,902,525
26341,4825,3015,3882,3686,943,671
25633,4652,3048,3813,3695,839,647
25288,5122,3802,4228,4409,894,607
25476,5214,3321,4209,3843,1005,522
26266,5772,3879,4705,4440,1067,561
28520,6014,4142,4889,4715,1125,573
32318,6108,4555,4901,5087,1207,532
33874,6119,4569,5052,5035,1067,466
33235,5849,4300,4926,4737,923,437
33100,5400,4128,4404,4542,996,414
33418,4732,3221,3809,3637,923,416
33046,4281,2376,3457,2765,824,389
33062,4380,2244,3449,2578,931,334
33161,4370,2646,3371,3054,999,408
33137,4036,2182,3047,2698,989,516
33036,4023,1729,3040,2360,983,631
32879,4200,2038,3030,2825,1170,787
32817,4172,2222,2985,3076,1187,854
34225,4104,1981,3063,2711,1041,730
33699,4456,2596,3472,3388,984,792
32879,4817,2775,3757,3392,1060,617
31788,5479,3330,4210,3882,1269,552
30181,5847,4111,4558,4611,1289,500
28391,5986,4471,4758,4866,1228,395
26834,5716,4486,4626,4776,1090,290
26084,5122,3610,4195,3858,927,248
25586,4812,3808,3923,3994,889,186
25661,4164,2879,3358,3094,806,215
26074,3735,2279,3030,2454,705,175
27075,3732,2612,2942,2730,790,118
28946,3042,2184,2435,2206,607,22
30889,2259,1410,1719,1422,540,12
32590,1678,1140,1295,1153,383,13
33691,1013,622,737,654,276,32
34057,604,966,469,1063,135,97
33543,192,17,152,5,40,12
32761,182,16,130,15,52,1
31705,228,27,168,26,60,1
31029,306,53,272,38,34,15
30498,526,104,469,102,57,2
30329,993,379,893,374,100,5
31206,1409,573,1237,571,172,2
33599,2697,1412,2401,1438,296,26
33779,4754,3610,4220,3682,534,72
33501,6329,6075,5490,6197,839,122
32745,7089,7491,6058,7690,1031,199
31391,7417,7904,6331,8128,1086,224
29764,7434,7355,6390,7631,1044,276
28371,7584,7654,6465,7983,1119,329
27473,7542,7528,6447,7900,1095,372
26986,7752,7543,6497,8044,1255,501
26727,7868,7795,6552,8301,1316,506
26792,7866,7787,6438,8234,1428,447
27178,7927,7825,6499,8319,1428,494
27996,7962,7621,6432,8126,1530,505
28851,7936,7646,6482,8090,1454,444
29821,7902,7368,6428,7901,1474,533
30816,7943,7712,6405,8198,1538,486
31020,7799,7782,6046,8159,1753,377
30932,8030,7633,6146,8044,1884,411
30843,8254,7876,6460,8479,1794,603
30806,8231,8068,6826,8685,1405,617
30793,7997,7858,6683,8322,1314,464
30825,7766,7804,6495,8073,1271,269
31128,7277,7082,6226,7318,1051,236
31444,6545,6973,5602,7189,943,216
33576,4945,6707,4211,6942,734,235
33640,3467,3650,2968,3854,499,204
32796,2895,2810,2364,3006,531,196
31584,2777,3086,2106,3376,671,290
29724,2355,2316,1677,2516,678,200
27378,2174,1652,1554,1726,620,74
25777,1932,1156,1518,1167,414,11
24988,1934,1026,1524,1084,410,58
24749,1766,793,1412,859,354,131
24994,1745,836,1385,1155,360,319
25990,1609,839,1245,1160,364,709
28610,1361,775,844,472,517,712
33069,1053,628,685,241,368,451
34562,942,416,713,118,229,298
33733,881,376,671,148,210,228
33560,878,410,592,184,286,226
33470,723,188,562,58,161,130
33009,1025,296,849,156,176,140
32451,1220,464,975,330,245,134
32094,1162,435,884,325,278,110
31672,1074,474,844,314,230,160
31385,956,261,775,143,181,118
31496,1158,320,985,211,173,109
31982,1576,687,1368,576,208,111
34515,2104,907,1841,917,263,98
34890,3129,1486,2664,1612,465,126
34519,4644,3207,4026,3367,618,160
33436,5310,4089,4504,4190,806,101
31262,6197,5595,5289,5722,908,127
29117,6452,5713,5593,5857,859,144
27718,6085,5121,5248,5224,837,103
27098,6036,4861,5174,4981,862,120
26895,6206,5331,5318,5384,888,53
27086,6374,5758,5559,5825,815,67
27937,6111,5239,5322,5286,789,47
30374,5813,4436,4947,4516,866,80
34390,4771,3140,4009,3242,762,102
35577,4555,3050,3711,3203,844,153
34517,3935,2443,3023,2577,912,134
34082,3486,1830,2651,1968,835,138
33859,3286,1314,2463,1507,823,193
33577,3531,1473,2505,1819,1026,346
33298,4113,1560,2890,2271,1223,711
32988,4262,1724,2821,2588,1441,864
32764,4505,1960,2845,3071,1660,1111
32903,3936,1414,2311,2556,1625,1142
33656,3740,1374,1903,2956,1837,1582
34677,3036,916,1273,1993,1763,1499
36003,2384,860,1013,876,1371,1168
35827,2298,851,1204,774,1094,965
34993,2261,796,1171,785,1090,887
33466,2259,706,1228,845,1031,1043
31067,2457,805,1490,853,967,894
28571,2891,877,1932,1009,959,731
26946,3797,924,2562,1673,1235,806
26161,4851,1744,3716,2644,1135,900
25753,5199,2358,4048,3212,1151,854
25820,5776,2875,4494,3699,1282,824
26528,6596,4145,5208,5029,1388,884
28860,6631,4211,5419,5032,1212,821
32680,6666,4458,5226,5233,1440,775
34435,6943,5050,5335,5937,1608,887
34232,7191,5547,5931,6786,1260,1239
34553,6460,5859,5504,6769,956,910
35114,5845,5207,4900,5840,945,633
35149,5711,4242,4600,4668,1111,426
34947,5795,3659,4515,4144,1280,485
34646,6388,4394,4856,4987,1532,593
34430,6270,4192,4599,4904,1671,712
34538,5605,3815,3933,4533,1672,718
35001,4695,3727,2960,4462,1735,735
35900,3410,2854,1735,3397,1675,543
37465,2180,857,1038,1278,1142,456
37189,1972,857,907,892,1065,505
36406,1614,714,712,503,902,537
34787,1764,814,862,703,902,772
32334,2058,887,1283,1547,775,1213
29720,2010,891,1689,1409,321,716
28137,2399,1291,1990,1567,409,276
27362,3037,1698,2368,2010,669,312
27140,3812,3004,2929,3451,883,447
27346,3966,2679,3024,3076,942,397
28274,4048,2190,3059,2631,989,441
30841,4458,2868,3079,3338,1379,470
35281,4388,2782,3202,3374,1186,592
36702,4411,3579,3552,4240,859,661
35719,3886,2883,3255,3153,631,270
35074,3881,2732,3111,2903,770,171
34451,4411,3874,3463,4123,948,249
33707,3995,3045,3231,3260,764,215
32893,3466,1771,2700,1936,766,165
32468,3771,1950,2745,2135,1026,185
31841,3683,1850,2565,2216,1118,366
31503,2949,1499,1880,1812,1069,313
31948,2068,955,1170,1240,898,285
31925,1220,677,472,817,748,195
34386,657,319,283,203,374,116
35024,356,31,252,23,104,8
34932,364,56,333,55,31,1
34001,569,238,557,237,12,1
32024,1184,639,1160,640,24,1
29928,2236,1570,2143,1571,93,1
28698,3700,3336,3497,3370,203,34
28401,4691,3811,4359,3888,332,77
28577,5438,4480,4882,4481,556,1
29169,6389,6032,5559,6041,830,9
30391,6791,6535,5827,6579,964,44
33384,7058,7515,6085,7599,973,84
37978,6446,6336,5681,6373,765,37
39318,6391,6033,5511,6068,880,35
37526,6162,5811,5305,5812,857,1
35858,5360,4501,4689,4502,671,1
34709,4843,3378,3972,3379,871,1
33862,4560,2736,3541,2780,1019,44
32697,5133,3261,3804,3429,1329,168
32197,4675,2777,3377,3017,1298,240
31482,3715,1723,2596,1978,1119,255
31137,3685,1953,2513,2307,1172,354
30898,3686,2075,2525,2452,1161,377
30995,4343,2973,3078,3399,1265,426
32869,5441,3757,4069,4275,1372,518
32957,6200,4285,4617,4834,1583,549
32543,7675,6640,5759,7438,1916,798
31805,7741,7117,6004,7852,1737,735
30422,7890,7548,6333,8124,1557,576
